edge_type,property,count
NOMINATED_FOR,policy_version,1
NOMINATED_FOR,projection_revision,1
NOMINATED_FOR,recipient_record_ids,1
NOMINATED_FOR,recognition_revision,1
NOMINATED_FOR,source,1
NOMINATED_FOR,source_urls,1
NOMINATED_FOR,updated_at,321
NOMINATED_FOR,uuid,321
NOMINATED_FOR,weight,321
OFFICER_OF,compensation_usd,45
OFFICER_OF,confidence,55
OFFICER_OF,created_at,55
OFFICER_OF,description,55
OFFICER_OF,description_generated_at,37
OFFICER_OF,description_input_hash,37
OFFICER_OF,description_provenance,37
OFFICER_OF,description_source,37
OFFICER_OF,description_upgrade_pending,37
OFFICER_OF,filing_refs,55
OFFICER_OF,mention_ref,55
OFFICER_OF,role,55
OFFICER_OF,source,55
OFFICER_OF,source_urls,55
OFFICER_OF,title,55
OFFICER_OF,title_as_filed,55
OFFICER_OF,updated_at,55
OFFICER_OF,uuid,55
OFFICER_OF,valid_from,55
OFFICER_OF,valid_to,13
OFFICER_OF,weight,55
PUBLISHED_BY,active,2
PUBLISHED_BY,chosen_fact_ids,2
PUBLISHED_BY,created_at,12
PUBLISHED_BY,description,1
PUBLISHED_BY,description_generated_at,1
PUBLISHED_BY,evidence_ids,2
PUBLISHED_BY,excluded_from_scoring,2
PUBLISHED_BY,layer,2
PUBLISHED_BY,policy_version,2
PUBLISHED_BY,projection_revision,2
PUBLISHED_BY,publishing_record_ids,2
PUBLISHED_BY,source,2
PUBLISHED_BY,source_urls,2
PUBLISHED_BY,updated_at,12
PUBLISHED_BY,uuid,12
PUBLISHED_BY,weight,12
RAISED,announced_date,337
RAISED,company_name,396
RAISED,created_at,396
RAISED,description,396
RAISED,description_generated_at,86
RAISED,description_input_hash,86
RAISED,description_provenance,86
RAISED,description_source,86
RAISED,description_upgrade_pending,86
RAISED,funding_type,84
RAISED,investors,74
RAISED,investors_text,28
RAISED,lead_investors,22
RAISED,size_usd,54
RAISED,source,396
RAISED,updated_at,396
RAISED,uuid,396
RAISED,weight,396
RECEIVED_HONOR,created_at,142
RECEIVED_HONOR,description,103
RECEIVED_HONOR,description_generated_at,34
RECEIVED_HONOR,description_input_hash,34
RECEIVED_HONOR,description_provenance,34
RECEIVED_HONOR,description_source,34
RECEIVED_HONOR,description_upgrade_pending,34
RECEIVED_HONOR,updated_at,142
RECEIVED_HONOR,uuid,142
RECEIVED_HONOR,valid_from,125
RECEIVED_HONOR,weight,142
RELEASED,created_at,20
RELEASED,description,20
RELEASED,description_generated_at,20
RELEASED,source,20
RELEASED,updated_at,20
RELEASED,uuid,20
RELEASED,weight,20
RELEASED_ON,created_at,113
RELEASED_ON,description,113
RELEASED_ON,description_generated_at,113
RELEASED_ON,source,113
RELEASED_ON,updated_at,113
RELEASED_ON,uuid,113
RELEASED_ON,weight,113
RELEASE_OF,created_at,19
RELEASE_OF,description,19
RELEASE_OF,description_generated_at,19
RELEASE_OF,source,19
RELEASE_OF,updated_at,19
RELEASE_OF,uuid,19
RELEASE_OF,weight,19
REPORTED_TO,confidence,6
REPORTED_TO,created_at,6
REPORTED_TO,description,6
REPORTED_TO,description_generated_at,6
REPORTED_TO,description_input_hash,3
REPORTED_TO,description_provenance,3
REPORTED_TO,description_source,3
REPORTED_TO,description_upgrade_pending,3
REPORTED_TO,evidence,6
REPORTED_TO,evidence_refs,6
REPORTED_TO,provider,6
REPORTED_TO,relationship,6
REPORTED_TO,source_names,6
REPORTED_TO,source_published,6
REPORTED_TO,source_urls,6
REPORTED_TO,updated_at,6
REPORTED_TO,uuid,6
REPORTED_TO,valid_from,6
REPORTED_TO,via_domain,6
REPORTED_TO,via_entity_uuid,3
REPORTED_TO,via_key,6
REPORTED_TO,via_organization,6
REPORTED_TO,weight,6
SPECIALIZES_IN,created_at,1481
SPECIALIZES_IN,description,1481
SPECIALIZES_IN,description_generated_at,1481
SPECIALIZES_IN,description_input_hash,680
SPECIALIZES_IN,description_provenance,680
SPECIALIZES_IN,description_source,680
SPECIALIZES_IN,description_upgrade_pending,680
SPECIALIZES_IN,match_score,1274
SPECIALIZES_IN,specialty,1481
SPECIALIZES_IN,updated_at,1481
SPECIALIZES_IN,uuid,1481
SPECIALIZES_IN,weight,1481
SPOKE_AT,confidence,25
SPOKE_AT,created_at,25
SPOKE_AT,description,25
SPOKE_AT,description_generated_at,25
SPOKE_AT,description_input_hash,19
SPOKE_AT,description_provenance,19
SPOKE_AT,description_source,19
SPOKE_AT,description_upgrade_pending,19
SPOKE_AT,evidence,25
SPOKE_AT,evidence_refs,25
SPOKE_AT,provider,25
SPOKE_AT,role,25
SPOKE_AT,source_names,25
SPOKE_AT,source_published,25
SPOKE_AT,source_urls,25
SPOKE_AT,title,25
SPOKE_AT,updated_at,25
SPOKE_AT,uuid,25
SPOKE_AT,valid_from,25
SPOKE_AT,weight,25
SUBSIDIARY_OF,created_at,33
SUBSIDIARY_OF,description,33
SUBSIDIARY_OF,description_generated_at,33
SUBSIDIARY_OF,source,33
SUBSIDIARY_OF,updated_at,33
SUBSIDIARY_OF,uuid,33
SUBSIDIARY_OF,weight,33
SUCCEEDED_BY,confidence,2
SUCCEEDED_BY,created_at,2
SUCCEEDED_BY,description,2
SUCCEEDED_BY,description_generated_at,2
SUCCEEDED_BY,evidence,2
SUCCEEDED_BY,evidence_refs,2
SUCCEEDED_BY,provider,2
SUCCEEDED_BY,relationship,2
SUCCEEDED_BY,source_names,2
SUCCEEDED_BY,source_published,2
SUCCEEDED_BY,source_urls,2
SUCCEEDED_BY,updated_at,2
SUCCEEDED_BY,uuid,2
SUCCEEDED_BY,valid_from,2
SUCCEEDED_BY,valid_to,1
SUCCEEDED_BY,via_domain,2
SUCCEEDED_BY,via_entity_uuid,1
SUCCEEDED_BY,via_key,2
SUCCEEDED_BY,via_organization,2
SUCCEEDED_BY,weight,2
USES_ENGINE,active,3
USES_ENGINE,chosen_fact_ids,3
USES_ENGINE,created_at,3
USES_ENGINE,description,3
USES_ENGINE,description_generated_at,3
USES_ENGINE,description_input_hash,1
USES_ENGINE,description_provenance,1
USES_ENGINE,description_source,1
USES_ENGINE,description_upgrade_pending,1
USES_ENGINE,engine_use_record_ids,3
USES_ENGINE,evidence_ids,3
USES_ENGINE,excluded_from_scoring,3
USES_ENGINE,layer,3
USES_ENGINE,policy_version,3
USES_ENGINE,projection_revision,3
USES_ENGINE,source,3
USES_ENGINE,source_urls,3
USES_ENGINE,updated_at,3
USES_ENGINE,uuid,3
USES_ENGINE,weight,3
VOLUNTEERED_AT,created_at,98
VOLUNTEERED_AT,description,56
VOLUNTEERED_AT,description_generated_at,16
VOLUNTEERED_AT,description_input_hash,16
VOLUNTEERED_AT,description_provenance,16
VOLUNTEERED_AT,description_source,16
VOLUNTEERED_AT,description_upgrade_pending,16
VOLUNTEERED_AT,is_current,98
VOLUNTEERED_AT,title,98
VOLUNTEERED_AT,updated_at,98
VOLUNTEERED_AT,uuid,98
VOLUNTEERED_AT,valid_from,83
VOLUNTEERED_AT,valid_to,52
VOLUNTEERED_AT,weight,98
WAS_ADVISOR_TO,created_at,89
WAS_ADVISOR_TO,description,89
WAS_ADVISOR_TO,description_generated_at,10
WAS_ADVISOR_TO,description_input_hash,10
WAS_ADVISOR_TO,description_provenance,10
WAS_ADVISOR_TO,description_source,10
WAS_ADVISOR_TO,description_upgrade_pending,10
WAS_ADVISOR_TO,seniority_level,89
WAS_ADVISOR_TO,source,89
WAS_ADVISOR_TO,title,89
WAS_ADVISOR_TO,total_roles,89
WAS_ADVISOR_TO,updated_at,89
WAS_ADVISOR_TO,uuid,89
WAS_ADVISOR_TO,valid_from,89
WAS_ADVISOR_TO,valid_to,89
WAS_ADVISOR_TO,weight,89
WON_AWARD,created_at,102
WON_AWARD,updated_at,102
WON_AWARD,uuid,102
WON_AWARD,weight,102
WORKED_AT,created_at,1693
WORKED_AT,description,1693
WORKED_AT,description_generated_at,315
WORKED_AT,description_input_hash,315
WORKED_AT,description_provenance,315
WORKED_AT,description_source,315
WORKED_AT,description_upgrade_pending,315
WORKED_AT,seniority_level,1693
WORKED_AT,source,1693
WORKED_AT,title,1693
WORKED_AT,total_roles,1693
WORKED_AT,updated_at,1693
WORKED_AT,uuid,1693
WORKED_AT,valid_from,1693
WORKED_AT,valid_to,1693
WORKED_AT,weight,1693
WORKED_ON,active,4
WORKED_ON,character_names,2
WORKED_ON,chosen_fact_ids,4
WORKED_ON,created_at,195
WORKED_ON,credit_coverage,4
WORKED_ON,credit_record_ids,4
WORKED_ON,description,195
WORKED_ON,description_generated_at,195
WORKED_ON,evidence_ids,4
WORKED_ON,excluded_from_scoring,4
